"Game.ID","Date","Away.Team","Away.Team.ID","A.Score","away_week","DaysofRest.Away.Team","A_Streak","Home.Team","H.Team.ID","No.of.Players.H","No.of.Players.A","H.Score","home_week","DaysofRest.Home.Team","H_Streak"
114,"11/11/2015","Indiana Pacers",12,102,9,2,"W 1","Boston Celtics",2,10,12,91,7,1,"W 2"
115,"11/11/2015","New York Knicks",20,93,9,1,"W 2","Charlotte Hornets",4,12,11,95,8,1,"W 1"
116,"11/11/2015","Los Angeles Clippers",13,108,8,2,"W 1","Dallas Mavericks",7,12,12,118,8,1,"L 1"
117,"11/11/2015","Milwaukee Bucks",17,102,9,1,"L 1","Denver Nuggets",8,9,11,103,8,2,"W 1"
118,"11/11/2015","Brooklyn Nets",3,106,8,4,"L 7","Houston Rockets",11,10,11,98,8,4,"W 4"
119,"11/11/2015","Golden State Warriors",10,100,9,2,"W 8","Memphis Grizzlies",15,12,10,84,9,2,"L 3"
120,"11/11/2015","Los Angeles Lakers",14,99,8,1,"L 2","Orlando Magic",22,11,12,101,9,2,"L 1"
121,"11/11/2015","Toronto Raptors",28,119,9,1,"L 3","Philadelphia 76ers",23,12,10,103,8,2,"L 7"
122,"11/11/2015","San Antonio Spurs",27,113,8,2,"W 2","Portland Trail Blazers",25,12,12,101,9,2,"L 2"
123,"11/11/2015","Detroit Pistons",9,92,8,2,"L 1","Sacramento Kings",26,9,10,101,9,2,"L 6"
124,"12/11/2015","Utah Jazz",29,91,8,2,"L 1","Miami Heat",16,11,10,92,9,2,"W 2"
125,"12/11/2015","Golden State Warriors",10,129,10,1,"W 9","Minnesota Timberwolves",18,10,12,116,8,2,"L 1"
126,"12/11/2015","Los Angeles Clippers",13,104,9,1,"L 1","Phoenix Suns",24,11,12,118,8,4,"L 2"
127,"13/11/2015","Atlanta Hawks",1,93,11,2,"W 1","Boston Celtics",2,12,12,106,8,2,"L 1"
128,"13/11/2015","Charlotte Hornets",4,97,9,2,"W 2","Chicago Bulls",5,10,12,102,9,4,"W 1"
129,"13/11/2015","Los Angeles Lakers",14,82,9,2,"L 3","Dallas Mavericks",7,10,12,90,9,2,"W 1"
